Bulan,Penderita Laki-laki,Penderita Perempuan,Totalpenderita,Nilai,CurahHujan,Kelembaban,Kepadatan
1,15,10,25,Sedang,382,87,4431
2,28,32,60,Tinggi,419,88,4445
3,35,36,71,Tinggi,410,87,4454
4,30,26,56,Tinggi,352,85,4458
5,24,8,32,Sedang,310,82,4461
6,15,7,22,Rendah,39,81,4465
7,6,2,8,Rendah,42,80,4464
8,9,3,12,Rendah,37,79,4470
9,2,5,7,Rendah,59,76,4472
10,6,3,9,Rendah,200,81,4473
11,7,2,9,Rendah,190,83,4476
1,38,22,60,Tinggi,237,85,4480
2,51,29,80,Tinggi,296,85,4485
3,47,41,88,Tinggi,274,87,4488
4,54,26,80,Tinggi,261,83,4490
5,47,20,67,Tinggi,41,76,4582
6,21,10,31,Tinggi,1,74,4592
7,5,3,8,Rendah,2,70,4593
8,4,6,10,Rendah,0,67,4596
9,2,0,2,Rendah,1,67,4599
10,3,0,3,Rendah,15,73,4600
11,3,2,5,Rendah,62,76,4610
